Title,Date,CNetID,Job Title,Department,Division,Affiliation,Faculty Member or Instructor?,Contact ID,Engagement Type,Which Workshop,Hear about Workshop,What Brings You In,Hear about Walk-Ins,Event Notes,Consultation Topic,How Did You Hear
7/18/2019 12:26,,strong1,,IME,IME,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:26,,mjbechtel,,NELC,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:25,,lledin,,Anthropology,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:25,,tgutmann,,Islamic Studies,Divinity School,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:24,,ahaskins,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:24,,jhereth,,SSA,SSA,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:23,,scashdollar,,CHD,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:22,,abartoletti,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:21,,jingli3,,BCMB,BSD,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:21,,johnhall,,Cell and Molecular Biology,BSD,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,Here is an example consultation topic that is being entered manually. ,
7/18/2019 12:21,,ajkersey,,Psychology,SSD,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:21,,bhainline,,NELC,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:21,,rhanai,,James Franck Institute,PSD,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/18/2019 12:21,,nschade,,James Franck Institute,PSD,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
7/23/2019 1:57 PM,,millerpb,Learning Technology Specialist,Pritzker School of Medicine,BSD,Staff,FALSE,Cecilia Lo,Workshop,Using Multimedia for Instruction and Creative Assignments,Canvas Announcement,,,,,
7/23/2019 6:56:47 PM,,Sfriedmn,Director of Academic Programs,Summer Quarter,College,Staff,FALSE,Cecilia Lo,Workshop,Using Multimedia for Instruction and Creative Assignments,Website or Events Calendar,,,,,
8/8/2019 5:18:02 PM,,curtis3,,Chicago Center for Teaching,College,Staff,FALSE,Cecilia Lo,'Custom Consultation',,,,,,"How to use Canvas in general, Panopto, and digital pedagogy stuff.  To be continued, only covered Canvas, and basic Panopto features today. ",
8/13/2019 7:00:32 PM,,Wrcobb,,Unknown,Unknown,Staff,FALSE,,'Workshop',"Creative Assignments in Canvas Using Google Apps,  Blogs, & Wiki Pages","[""Website or Events Calendar""]",,,,,
8/13/2019 7:02:45 PM,,Sfriedmn ,Director of Academic Programs,Summer Quarter,College,Staff,FALSE,,'Workshop',"Creative Assignments in Canvas Using Google Apps,  Blogs, & Wiki Pages","[""Website or Events Calendar""]",,,,,
8/15/2019 10:30:00 AM,,amclean,,Romance Languages and Literatures,HUM,Faculty/Instructor,TRUE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:01 AM,,davidharris,,Near Eastern Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:02 AM,,dbellisle,,SSA,SSA,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:03 AM,,emcfee,,Anthropology,SSD,Postdoc,FALSE,,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:04 AM,,jgrasso,,Music,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:05 AM,,avhoffmann,,Near Eastern Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:06 AM,,araeber,,Chemistry,PSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:07 AM,,anlyons,,Writing Program,College,Staff,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10;30:08 AM,,onursal,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:09 AM,,esartell,,Islamic Studies,Divinity School,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:10 AM,,craipain,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:11 AM,,joshuasobrin,,Physics,PSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:12 AM,,fraga,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:13 AM,,agsarfomensah,,Comparative Human Development,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:14 AM,,jhanlon,,Chicago Center for Teaching,College,Staff,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/15/2019 10:30:15 AM,,richardsonc,,Chicago Center for Teaching,College,Staff,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:00 AM,,emcfee,,Anthropology,SSD,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:01 AM,,craipain,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:02 AM,,avhoffmann,,Near Eastern Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:03 AM,,amclean,,Romance Languages and Literatures,HUM,Faculty/Instructor,TRUE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:04 AM,,davidharris,,Near Eastern Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:05 AM,,jgrasso,,Music,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:06 AM,,anlyons,,Writing Program,College,Staff,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:07 AM,,dbellisle,,SSA,SSA,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:08 AM,,onursal,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:09 AM,,araeber,,Chemistry,PSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:10 AM,,agsarfomensah,,Comparative Human Development,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:11 AM,,joshuasobrin,,Physics,PSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
8/16/2019 10:30:12 AM,,jhanlon,,Chicago Center for Teaching,College,Staff,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/5/2019 6:19:39 PM,,meghanbridget,Lecturer,Mathematics,PSD,Faculty/Instructor,TRUE,,'Walk-in (TechBar)',,,Questions about how to organize my course,I've attended Canvas walk-ins before,,,
9/10/2019 7:52:30 PM,,kbutler1,Secretary IV,Anesthesia & Critical Care,BSD,Staff,FALSE,Thomas Keith,'Custom Consultation',,,,,,Setting up and organizing a Canvas course site for Michael O'Connor's Fall course Vignettes in Physiology,
9/12/2019 7:17:36 PM,,bshallcr,Professor,Slavic Languages and Literatures,HUM,Faculty/Instructor,TRUE,Thomas Keith,'Walk-in (TechBar)',,,"[""Checking Canvas out"",""Questions about Canvas's features"",""Questions about how to organize my course""]",Canvas Announcement,,,
9/16/2019 6:18:23 PM,,bshallcr,Professor,Slavic Languages and Literatures,HUM,Faculty/Instructor,TRUE,Thomas Keith,Scheduled consultation,,,,,Helping set up course site and organize materials for REES course.  Added materials from Chalk; etc.,"[""Canvas""]",
9/16/2019 7:35:25 PM,,rpetrush,French Lect.,Hum Coll Div,HUM,Faculty/Instructor,TRUE,Cecilia Lo,Scheduled consultation,,,,,"Copy question banks from language placement test, use question banks to classify questions, add new questions, and build new quizzes based on the banks","[""Canvas""]",
9/19/2019 3:08:38 PM,,mcv4,Associate Professor Emerita,Germanic Studies,HUM,Faculty/Instructor,FALSE,Cheryl Walker,'Walk-in (TechBar)',,,"[""Questions about Canvas's features"",""Questions about how to organize my course""]",TechBar referral,,,
9/23/2019 2:52:33 PM,,rhtuttle,Professor,Anthropology,SSD,Faculty/Instructor,FALSE,Cheryl Walker,'Walk-in (TechBar)',,,"[""How to publish course""]",I've attended Canvas walk-ins before,,,
9/23/2019 3:20:50 PM,,joya,,South Asian Languages and Civilizations,HUM,Grad student,FALSE,Cheryl Walker,'Walk-in (TechBar)',,,"[""Questions about how to organize my course""]",TechBar referral,,,
9/23/2019 3:25:10 PM,,ifanlo,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cheryl Walker,'Walk-in (TechBar)',,,"[""Questions about how to organize my course""]",I've attended Canvas walk-ins before,,,
9/23/2019 3:32:30 PM,,perrywong,,Anthropology,SSD,Grad student,FALSE,Cheryl Walker,'Walk-in (TechBar)',,,"[""ta organizing course"",""Questions about how to organize my course""]",TechBar referral,,,
9/23/2019 5:59:42 PM,,jpadgett,"Prof., Dept. of Political Science and the College",Political Science,SSD,Faculty/Instructor,FALSE,Cheryl Walker,General walk-in,,,,,Also needed archived course materials imported.,"[""Copy Canvas Course "",""Canvas""]",
9/24/2019 2:43:16 PM,,wveeder,Professor Emeritus,English Language And Literature,HUM,Faculty/Instructor,FALSE,Thomas Keith,Phone call,,,,,Client needed help setting up his Canvas course and uploading readings for his students.,"[""Assignments/Course Design"",""Canvas""]",
9/25/2019 6:12:04 PM,,newboldjthomas,,South Asian Languages and Civilizations,HUM,Grad student,FALSE,Thomas Keith,General walk-in,,,,,Client needed help creating his Canvas course site in lmsmiddleware.  Site successfully created.,"[""Canvas""]",
9/25/2019 7:58:29 PM,,emasghati,,History,SSD,Grad student,FALSE,Thomas Keith,General walk-in,,,,,Client needed help organizing her course site and creating assignments.,"[""Assignments/Course Design"",""Canvas""]",
9/26/2019 7:29:32 PM,,dhammadipa,,Divinity School,Divinity School,Staff,FALSE,Cecilia Lo,General walk-in,,,,,"New faculty, never used a LMS before, Intro to Canvas","[""Canvas""]",
9/26/2019 8:40:07 PM,,suzannecox,Associate Dean,BSD Senior Administration,BSD,Faculty/Instructor,FALSE,Cecilia Lo,Scheduled consultation,,,,,Course Template for BSD Online Courses,"[""Canvas""]",
9/26/2019 03:53:00 PM,,celineb,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:01 PM,,colmart,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:02 PM,,rdelaville,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:03 PM,,nadine,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:04 PM,,cdonisan,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:05 PM,,agirons,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:06 PM,,sgoutas,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:07 PM,,sguslandi,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:08 PM,,dkusar,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:09 PM,,rlarra,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:10 PM,,clegrand,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:11 PM,,afl1,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:12 PM,,mclozada,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:13 PM,,cmasciel,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:14 PM,,amclean,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:15 PM,,vmoraga,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:16 PM,,maxnovak,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:17 PM,,mpachecosalazar,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:18 PM,,dpalenzuela,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:19 PM,,fpieras,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/26/2019 03:53:20 PM,,bransom,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:21 PM,,janetsedlar,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:22 PM,,ftaddei,,Romance Languages and Literatures,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:23 PM,,lmvdhout,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/26/2019 03:53:24 PM,,vvegna,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/27/2019 6:39:30 PM,,mtew,,Booth School of Business,Booth School of Business,Grad student,FALSE,Thomas Keith,General walk-in,,,,,Client could not find a course in which she was enrolled on her Canvas Dashboard.,"[""Canvas""]",
9/27/2019 7:12:59 PM,,paulamotrico,Assistant Instructional Professor$Department of Romance Langua,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Scheduled consultation,,,,,New instructor needs to know how to create Canvas course site and use Canvas,"[""Canvas""]",
9/27/2019 8:37:09 PM,,ywang7,Senior Lecturer in Chinese Language and Director of the Chines,East Asian Languages & Civilizations,HUM,Faculty/Instructor,FALSE,Thomas Keith,General walk-in,,,,,Client needed help organizing course site and transferring files from another Canvas site,"[""Assignments/Course Design"",""Canvas""]",
09/24/19 09:00:00 AM,,georgeadams,,Music,HUM,Postdoc,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:01 AM,,arwa,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:02 AM,,bbarlavi,,History,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:03 AM,,stickboy,,Divinity School,Divinity School,Grad student,FALSE,Cecilia Lo,,Custom Workshop,,,,,,
09/24/2019 09:00:04 AM,,nblancomourelle,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:05 AM,,brill,,South Asian Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:06 AM,,jbunning,Collegiate Assistant Professor,Social Sciences Collegiate Division,SSCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:07 AM,,buyan,,Divinity School,Divinity School,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:08 AM,,maracaden,Collegiate Assistant Professor,Social Sciences Collegiate Division,SSCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:09 AM,,acampolo,,Stevanovich Institute on the Formation of Knowledge,Stevanovich Institute on the Formation of Knowledge,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:10 AM,,cardenas,,Psychology,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:11 AM,,michristian,Assistant Professor,Germanic Studies,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:13 AM,,rciacci,,Graham School,Graham School,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:14 AM,,suchismita,,Anthropology,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:15 AM,,bdavis14,,Social Service Administration,SSA,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:16 AM,,ddonetti,,Social Sciences Collegiate Division,SSCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:17 AM,,helshakry,Assistant Professor,Comparative Literature,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:18 AM,,sfedi,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:19 AM,,sfenno,Senior Lecturer,Humanities Collegiate Division,HCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
9/30/2019 3:01:35 PM,,anetshofer,Lecturer,Near Eastern Languages and Civilizations,HUM,Faculty/Instructor,FALSE,Cheryl Walker,General walk-in,,,,,needed course material copied,"[""Assignments/Course Design"",""Canvas""]",
09/24/2019 09:00:20 AM,,sgabel,Associate Provost,Office of the Provost,Office of the Provost,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:21 AM,,pag,,Committee on Social Thought,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:22 AM,,djgrant,Senior Lecturer,Society of Fellows in the Liberal Arts,College,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:23 AM,,harpham,,Social Sciences Collegiate Division,SSCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:24 AM,,jharris14,,Visual Arts,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:25 AM,,landoe,,Divinity School,Divinity School,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:26 AM,,jmhenderson,,Anthropology,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:28 AM,,hmibrahi,,Humanities Collegiate Division,HCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:28 AM,,maggiejensen,,Visual Arts,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:29 AM,,jwoong,,History,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:30 AM,,rpjohnson,,Divinity School,Divinity School,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:31 AM,,kahle,,History,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:32 AM,,kindell,,History,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:34 AM,,lovekindstrand,,Anthropology,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:35 AM,,kryczka,,History,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:36 AM,,cleifheit,,Visual Arts,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:37 AM,,vlevan,Lecturer,Humanities Collegiate Division,HCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:38 AM,,klyamlahy,,Romance Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:39 AM,,cmacleod,,Germanic Studies,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:40 AM,,tasneem,,Comparative Human Development,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:41 AM,,emasghati,,History,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:42 AM,,chelsiemay,,Near Eastern Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:43 AM,,amazzaferro,,Stevanovich Institute on the Formation of Knowledge,Stevanovich Institute on the Formation of Knowledge,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:44 AM,,jmcc,,Sociology,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:45 AM,,pjmunoz,,Linguistics,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:46 AM,,ndiaye,,English Language and Literature,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:47 AM,,bness,Assistant Curator of Academic Initiatives,Smart Museum of Art,Smart Museum of Art,Staff,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:48 AM,,jdohoney,Teaching Fellow in the Social Sciences,History,SSD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:49 AM,,yiftach,,Divinity School,Divinity School,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:50 AM,,eolimpieva,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:51 AM,,rowen,,Political Science,SSD,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:52 PM,,ahonapanda,,South Asian Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:53 AM,,pdposey,,Political Science,SSD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:54 AM,,richeym,,Near Eastern Languages and Civilizations,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:55 AM,,laschachter,,English Language and Literature,HUM,Grad student,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:56 AM,,ktucker,,Slavic Languages and Literatures,HUM,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
09/24/2019 09:00:57 AM,,spru,,Social Sciences Collegiate Division,SSCD,Faculty/Instructor,FALSE,Cecilia Lo,Workshop,Custom Workshop,,,,,,
